epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,3268.07,0.85672,0.69709,1.03354,0.53765,0.41189,0.40175,0.2537,1.39727,1.55028,1.42275,2.2737e-05,2.2737e-05,2.2737e-05
146,3345.77,0.85324,0.69398,1.03321,0.57244,0.407,0.40084,0.25384,1.39436,1.54687,1.41684,2.20228e-05,2.20228e-05,2.20228e-05
147,3425.02,0.83598,0.68884,1.02963,0.57329,0.4113,0.40195,0.25462,1.39799,1.55072,1.4224,2.13181e-05,2.13181e-05,2.13181e-05
148,3575.5,0.84838,0.70208,1.03514,0.55492,0.40403,0.40365,0.25818,1.38946,1.53448,1.41351,2.06231e-05,2.06231e-05,2.06231e-05
149,3725.87,0.84234,0.6888,1.02672,0.49069,0.42115,0.40401,0.25667,1.39184,1.54161,1.41548,1.99379e-05,1.99379e-05,1.99379e-05
150,3870.7,0.83245,0.669,1.02143,0.54143,0.41089,0.4052,0.25924,1.39238,1.53967,1.41886,1.92628e-05,1.92628e-05,1.92628e-05
151,4016.4,0.853,0.70415,1.0327,0.54575,0.40857,0.39855,0.25324,1.39553,1.55325,1.4197,1.85979e-05,1.85979e-05,1.85979e-05
152,4163.38,0.82298,0.67113,1.02219,0.51792,0.4174,0.39999,0.25486,1.39437,1.54216,1.41914,1.79433e-05,1.79433e-05,1.79433e-05
153,4250.65,0.84843,0.6879,1.02935,0.54121,0.40557,0.40405,0.25728,1.39415,1.5353,1.41895,1.72993e-05,1.72993e-05,1.72993e-05
154,4326.13,0.82525,0.66351,1.02025,0.53347,0.40345,0.40331,0.2571,1.39503,1.54823,1.42114,1.66659e-05,1.66659e-05,1.66659e-05
155,4402.42,0.8537,0.69505,1.03377,0.51895,0.40237,0.40056,0.2556,1.39848,1.54175,1.42515,1.60434e-05,1.60434e-05,1.60434e-05
156,4478.04,0.83674,0.67908,1.02759,0.56293,0.38989,0.39912,0.25338,1.4022,1.53964,1.42803,1.54319e-05,1.54319e-05,1.54319e-05
157,4553.74,0.82835,0.67836,1.02189,0.53305,0.40699,0.39857,0.2538,1.39917,1.54632,1.42884,1.48315e-05,1.48315e-05,1.48315e-05
158,4628.91,0.84252,0.69158,1.02799,0.53412,0.40909,0.39948,0.25426,1.39561,1.5412,1.42158,1.42424e-05,1.42424e-05,1.42424e-05
159,4705.98,0.85112,0.69837,1.03257,0.57746,0.40254,0.39864,0.25313,1.40306,1.53265,1.42559,1.36648e-05,1.36648e-05,1.36648e-05
